PUBLICATION DATE,FISCAL YEAR,MONTH,INFLOWS/OUTFLOWS,DESCRIPTION,AMOUNT,publication date,fiscal year,month,inflows/outflows,description,amount
20201020.0,2021.0,July,Inflows - Current,General Property Tax,8330.0,,,,,,
20201020.0,2021.0,July,Inflows - Current,Other Taxes,796.0,,,,,,
20201020.0,2021.0,July,Inflows - Current,Federal Categorical Grants,109.0,,,,,,
20201020.0,2021.0,July,Inflows - Current,State Categorical Grants,357.0,,,,,,
20201020.0,2021.0,July,Inflows - Current,Other Categorical Grants,20.0,,,,,,
20201020.0,2021.0,July,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,July,Inflows - Current,Miscellaneous Revenues,692.0,,,,,,
20201020.0,2021.0,July,Inflows - Current,Inter-Fund Revenues,0.0,,,,,,
20201020.0,2021.0,July,Inflows - Prior,Taxes,2889.0,,,,,,
20201020.0,2021.0,July,Inflows - Prior,Federal Categorical Grants,202.0,,,,,,
20201020.0,2021.0,July,Inflows - Prior,State Categorical Grants,1022.0,,,,,,
20201020.0,2021.0,July,Inflows - Prior,Other Categorical Grants,2.0,,,,,,
20201020.0,2021.0,July,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,July,Inflows - Prior,Misc. Revenue/IFA,6.0,,,,,,
20201020.0,2021.0,July,Inflows - Capital,Capital Transfers,379.0,,,,,,
20201020.0,2021.0,July,Inflows - Capital,Federal And State,23.0,,,,,,
20201020.0,2021.0,July,Inflows - Other,Senior Colleges,0.0,,,,,,
20201020.0,2021.0,July,Inflows - Other,Holding Acct. & Other Adj.,14.0,,,,,,
20201020.0,2021.0,July,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,July,Outflows - Current,Personal Service,2170.0,,,,,,
20201020.0,2021.0,July,Outflows - Current,Other Than Personal Service,2648.0,,,,,,
20201020.0,2021.0,July,Outflows - Current,Debt Service,1249.0,,,,,,
20201020.0,2021.0,July,Outflows - Prior,Personal Service,1959.0,,,,,,
20201020.0,2021.0,July,Outflows - Prior,Other Than Personal Service,1721.0,,,,,,
20201020.0,2021.0,July,Outflows - Prior,Taxes,247.0,,,,,,
20201020.0,2021.0,July,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,July,Outflows - Capital,City Disbursements,503.0,,,,,,
20201020.0,2021.0,July,Outflows - Capital,Federal and State,51.0,,,,,,
20201020.0,2021.0,July,Outflows - Other,Senior Colleges,240.0,,,,,,
20201020.0,2021.0,July,Outflows - Other,Other Uses,29.0,,,,,,
20201020.0,2021.0,July,Balance,Beginning Balance,6627.0,,,,,,
20201020.0,2021.0,July,Balance,Ending Balance,10651.0,,,,,,
20201020.0,2021.0,August,Inflows - Current,General Property Tax,198.0,,,,,,
20201020.0,2021.0,August,Inflows - Current,Other Taxes,1344.0,,,,,,
20201020.0,2021.0,August,Inflows - Current,Federal Categorical Grants,367.0,,,,,,
20201020.0,2021.0,August,Inflows - Current,State Categorical Grants,46.0,,,,,,
20201020.0,2021.0,August,Inflows - Current,Other Categorical Grants,318.0,,,,,,
20201020.0,2021.0,August,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,August,Inflows - Current,Miscellaneous Revenues,486.0,,,,,,
20201020.0,2021.0,August,Inflows - Current,Inter-Fund Revenues,0.0,,,,,,
20201020.0,2021.0,August,Inflows - Prior,Taxes,351.0,,,,,,
20201020.0,2021.0,August,Inflows - Prior,Federal Categorical Grants,78.0,,,,,,
20201020.0,2021.0,August,Inflows - Prior,State Categorical Grants,425.0,,,,,,
20201020.0,2021.0,August,Inflows - Prior,Other Categorical Grants,60.0,,,,,,
20201020.0,2021.0,August,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,August,Inflows - Prior,Misc. Revenue/IFA,-15.0,,,,,,
20201020.0,2021.0,August,Inflows - Capital,Capital Transfers,270.0,,,,,,
20201020.0,2021.0,August,Inflows - Capital,Federal And State,36.0,,,,,,
20201020.0,2021.0,August,Inflows - Other,Senior Colleges,0.0,,,,,,
20201020.0,2021.0,August,Inflows - Other,Holding Acct. & Other Adj.,2.0,,,,,,
20201020.0,2021.0,August,Inflows - Other,Other Sources,375.0,,,,,,
20201020.0,2021.0,August,Outflows - Current,Personal Service,2781.0,,,,,,
20201020.0,2021.0,August,Outflows - Current,Other Than Personal Service,2654.0,,,,,,
20201020.0,2021.0,August,Outflows - Current,Debt Service,-6.0,,,,,,
20201020.0,2021.0,August,Outflows - Prior,Personal Service,1157.0,,,,,,
20201020.0,2021.0,August,Outflows - Prior,Other Than Personal Service,905.0,,,,,,
20201020.0,2021.0,August,Outflows - Prior,Taxes,292.0,,,,,,
20201020.0,2021.0,August,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
